id,name,terminalName,lat,long,installed,locked,temporary,public,nbBikes,nbEmptyDocks
112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,TRUE,FALSE,FALSE,TRUE,8,7
113,Columbus Circle / Union Station,31623,38.89696,-77.00493,TRUE,FALSE,FALSE,TRUE,36,7
114,North Capitol St & F St NW,31624,38.897446,-77.009888,TRUE,FALSE,FALSE,TRUE,18,5
115,11th & M St NW,31266,38.905607,-77.027137,TRUE,FALSE,FALSE,TRUE,3,16
116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,TRUE,FALSE,FALSE,TRUE,0,15
117,14th & G St NW,31238,38.898069,-77.031823,TRUE,FALSE,FALSE,TRUE,9,11
118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,TRUE,FALSE,FALSE,TRUE,14,9
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,TRUE,FALSE,FALSE,TRUE,3,19
125,11th & F St NW,31262,38.897857,-77.026975,TRUE,FALSE,FALSE,TRUE,9,6
126,23rd & E St NW,31260,38.896104,-77.049882,TRUE,FALSE,FALSE,TRUE,17,1
127,Lynn & 19th St North,31014,38.897315,-77.070993,TRUE,FALSE,FALSE,TRUE,11,19
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,TRUE,FALSE,FALSE,TRUE,3,16
129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,TRUE,FALSE,FALSE,TRUE,5,10
130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,TRUE,FALSE,FALSE,TRUE,6,9
131,N Rhodes & 16th St N,31018,38.892164,-77.079375,TRUE,FALSE,FALSE,TRUE,3,8
132,Fairfax Village,31706,38.86559,-76.952103,TRUE,FALSE,FALSE,TRUE,3,12
133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,TRUE,FALSE,FALSE,TRUE,0,14
134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,TRUE,FALSE,FALSE,TRUE,10,5
135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,TRUE,FALSE,FALSE,TRUE,5,14
136,17th & Rhode Island Ave NW,31239,38.906602,-77.038785,TRUE,FALSE,FALSE,TRUE,4,18
137,Thomas Circle,31241,38.9059,-77.0325,TRUE,FALSE,FALSE,TRUE,6,27
138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,TRUE,FALSE,FALSE,TRUE,3,8
139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,TRUE,FALSE,FALSE,TRUE,2,13
140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,TRUE,FALSE,FALSE,TRUE,6,11
141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,TRUE,FALSE,FALSE,TRUE,15,12
142,Maryland & Independence Ave SW,31243,38.887299,-77.018939,TRUE,FALSE,FALSE,TRUE,23,13
143,4th & E St SW,31244,38.88412,-77.017445,TRUE,FALSE,FALSE,TRUE,7,12
144,3rd & G St SE,31625,38.881185,-77.001828,TRUE,FALSE,FALSE,TRUE,3,16
145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,TRUE,FALSE,FALSE,TRUE,3,12
146,9th & Upshur St NW,31404,38.9418,-77.0251,TRUE,FALSE,FALSE,TRUE,5,10
147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,TRUE,FALSE,FALSE,TRUE,4,11
148,Columbia Rd & Georgia Ave NW,31115,38.928156,-77.02344,TRUE,FALSE,FALSE,TRUE,6,12
149,California St & Florida Ave NW,31116,38.917761,-77.04062,TRUE,FALSE,FALSE,TRUE,3,16
150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,TRUE,FALSE,FALSE,TRUE,9,9
151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,TRUE,FALSE,FALSE,TRUE,1,14
152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,TRUE,FALSE,FALSE,TRUE,6,9
153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,TRUE,FALSE,FALSE,TRUE,13,6
154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,TRUE,FALSE,FALSE,TRUE,3,12
155,Congress Heights Metro,31806,38.844711,-76.987823,TRUE,FALSE,FALSE,TRUE,6,8
156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,TRUE,FALSE,FALSE,TRUE,4,7
157,Wilson Blvd & N Oakland St,31033,38.8815,-77.10396,TRUE,FALSE,FALSE,TRUE,6,5
158,N Veitch  & 20th St N,31029,38.896923,-77.086502,TRUE,FALSE,FALSE,TRUE,1,13
159,10th & K St NW,31263,38.9024,-77.02622,TRUE,FALSE,FALSE,TRUE,15,8
160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,TRUE,FALSE,FALSE,TRUE,5,6
161,Key Blvd & N Quinn St,31027,38.896015,-77.078107,TRUE,FALSE,FALSE,TRUE,6,5
162,1st & K St SE,31628,38.87861,-77.006004,TRUE,FALSE,FALSE,TRUE,6,7
163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,TRUE,FALSE,FALSE,TRUE,0,19
164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,TRUE,FALSE,FALSE,TRUE,6,9
165,Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,TRUE,FALSE,FALSE,TRUE,5,13
166,Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,TRUE,FALSE,FALSE,TRUE,5,6
167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,TRUE,FALSE,FALSE,TRUE,2,13
168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,TRUE,FALSE,FALSE,TRUE,18,4
169,Smithsonian / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,TRUE,FALSE,FALSE,TRUE,8,14
170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,TRUE,FALSE,FALSE,TRUE,6,9
171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,TRUE,FALSE,FALSE,TRUE,7,12
172,N Veitch & Key Blvd,31028,38.893241,-77.086045,TRUE,FALSE,FALSE,TRUE,6,4
173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,TRUE,FALSE,FALSE,TRUE,4,15
174,15th & N Scott St,31031,38.89054,-77.08095,TRUE,FALSE,FALSE,TRUE,1,10
175,Washington Blvd & 7th St N,31032,38.880834,-77.091129,TRUE,FALSE,FALSE,TRUE,4,7
176,Ballston Metro / N Stuart & 9th St N,31037,38.881044,-77.111768,TRUE,FALSE,FALSE,TRUE,9,14
177,N Randolph St & Fairfax Dr,31034,38.882629,-77.109366,TRUE,FALSE,FALSE,TRUE,2,8
178,Jefferson Memorial,31249,38.879819,-77.037413,TRUE,FALSE,FALSE,TRUE,14,6
179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,TRUE,FALSE,FALSE,TRUE,11,4
180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,TRUE,FALSE,FALSE,TRUE,2,9
181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,TRUE,FALSE,FALSE,TRUE,1,13
182,Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,TRUE,FALSE,FALSE,TRUE,1,10
183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,TRUE,FALSE,FALSE,TRUE,6,13
185,20th & L St NW,31250,38.903584,-77.044789,TRUE,FALSE,FALSE,TRUE,18,1
186,12th & L St NW,31251,38.903819,-77.0284,TRUE,FALSE,FALSE,TRUE,3,16
