StartStation,EndStation,Ridership
17th St & Massachusetts Ave NW,14th & Belmont St NW,848
17th St & Massachusetts Ave NW,14th & D St NW / Ronald Reagan Building,425
17th St & Massachusetts Ave NW,14th & D St SE,83
17th St & Massachusetts Ave NW,14th & G St NW,575
17th St & Massachusetts Ave NW,14th & Girard St NW,3
17th St & Massachusetts Ave NW,14th & Harvard St NW,397
17th St & Massachusetts Ave NW,14th & L St NW,35
17th St & Massachusetts Ave NW,14th & R St NW,1167
17th St & Massachusetts Ave NW,14th & Rhode Island Ave NW,858
17th St & Massachusetts Ave NW,14th & Upshur St NW,32
17th St & Massachusetts Ave NW,14th & V St NW,1613
17th St & Massachusetts Ave NW,14th St & Colorado Ave NW,23
17th St & Massachusetts Ave NW,14th St & New York Ave NW,794
17th St & Massachusetts Ave NW,14th St & Spring Rd NW,87
17th St & Massachusetts Ave NW,14th St Heights / 14th & Crittenden St NW,19
17th St & Massachusetts Ave NW,15th & Crystal Dr,4
17th St & Massachusetts Ave NW,15th & East Capitol St NE,33
17th St & Massachusetts Ave NW,15th & Euclid St  NW,464
17th St & Massachusetts Ave NW,15th & F St NE,45
17th St & Massachusetts Ave NW,15th & K St NW,486
17th St & Massachusetts Ave NW,15th & L St NW,277
17th St & Massachusetts Ave NW,15th & N Scott St,10
17th St & Massachusetts Ave NW,15th & P St NW,1541
17th St & Massachusetts Ave NW,15th St & Massachusetts Ave SE,29
17th St & Massachusetts Ave NW,16th & Harvard St NW,442
17th St & Massachusetts Ave NW,16th & Irving St NW,9
17th St & Massachusetts Ave NW,16th & R St NW,23
17th St & Massachusetts Ave NW,17th & Corcoran St NW,1736
17th St & Massachusetts Ave NW,17th & G St NW,336
17th St & Massachusetts Ave NW,17th & K St NW,3695
17th St & Massachusetts Ave NW,17th & K St NW / Farragut Square,2098
17th St & Massachusetts Ave NW,17th & Rhode Island Ave NW,387
17th St & Massachusetts Ave NW,17th St & Independence Ave SW,5
17th St & Massachusetts Ave NW,18th & C St NW,17
17th St & Massachusetts Ave NW,18th & Eads St.,3
17th St & Massachusetts Ave NW,18th & M St NW,908
17th St & Massachusetts Ave NW,18th & R St NW,299
17th St & Massachusetts Ave NW,18th St & Pennsylvania Ave NW,730
17th St & Massachusetts Ave NW,18th St & Rhode Island Ave NE,23
17th St & Massachusetts Ave NW,18th St & Wyoming Ave NW,752
17th St & Massachusetts Ave NW,19th & E Street NW,243
17th St & Massachusetts Ave NW,19th & East Capitol St SE,26
17th St & Massachusetts Ave NW,19th & G St NW,237
17th St & Massachusetts Ave NW,19th & K St NW,644
17th St & Massachusetts Ave NW,19th & L St NW,676
17th St & Massachusetts Ave NW,19th St & Constitution Ave NW,336
17th St & Massachusetts Ave NW,19th St & Pennsylvania Ave NW,403
17th St & Massachusetts Ave NW,1st & H St NW,77
17th St & Massachusetts Ave NW,1st & K St SE,99
17th St & Massachusetts Ave NW,1st & M St NE,572
17th St & Massachusetts Ave NW,1st & N St SE,56
17th St & Massachusetts Ave NW,1st & O St NW,12
17th St & Massachusetts Ave NW,1st & Rhode Island Ave NW,578
17th St & Massachusetts Ave NW,1st & Washington Hospital Center NW,14
17th St & Massachusetts Ave NW,20th & Crystal Dr,25
17th St & Massachusetts Ave NW,20th & E St NW,261
17th St & Massachusetts Ave NW,20th & L St NW,269
17th St & Massachusetts Ave NW,20th & O St NW / Dupont South,294
17th St & Massachusetts Ave NW,20th St & Florida Ave NW,934
17th St & Massachusetts Ave NW,20th St & Virginia Ave NW,49
17th St & Massachusetts Ave NW,21st & I St NW,692
17th St & Massachusetts Ave NW,21st & M St NW,920
17th St & Massachusetts Ave NW,21st St & Constitution Ave NW,123
17th St & Massachusetts Ave NW,21st St & Pennsylvania Ave NW,352
17th St & Massachusetts Ave NW,21st St N & N Pierce St,3
17th St & Massachusetts Ave NW,22nd & I St NW / Foggy Bottom,441
17th St & Massachusetts Ave NW,23rd & Crystal Dr,11
17th St & Massachusetts Ave NW,23rd & E St NW ,294
17th St & Massachusetts Ave NW,23rd & Eads St,1
17th St & Massachusetts Ave NW,24th & N St NW,561
17th St & Massachusetts Ave NW,25th St & Pennsylvania Ave NW,571
17th St & Massachusetts Ave NW,26th & S Clark St,1
17th St & Massachusetts Ave NW,2nd & G St NE,54
17th St & Massachusetts Ave NW,2nd St & Massachusetts Ave NE,13
17th St & Massachusetts Ave NW,3000 Connecticut Ave NW / National Zoo,96
17th St & Massachusetts Ave NW,33rd & Water St NW,94
17th St & Massachusetts Ave NW,34th St & Wisconsin Ave NW,113
17th St & Massachusetts Ave NW,36th & Calvert St NW / Glover Park,100
17th St & Massachusetts Ave NW,37th & O St NW / Georgetown University,332
17th St & Massachusetts Ave NW,39th & Calvert St NW / Stoddert,42
17th St & Massachusetts Ave NW,39th & Veazey St NW,3
17th St & Massachusetts Ave NW,3rd & D St SE,55
17th St & Massachusetts Ave NW,3rd & Elm St NW,383
17th St & Massachusetts Ave NW,3rd & G St SE,16
17th St & Massachusetts Ave NW,3rd & H St NE,225
17th St & Massachusetts Ave NW,3rd & H St NW,296
17th St & Massachusetts Ave NW,3rd & Tingey St SE,45
17th St & Massachusetts Ave NW,3rd St & Pennsylvania Ave SE,70
17th St & Massachusetts Ave NW,4th & D St NW / Judiciary Square,93
17th St & Massachusetts Ave NW,4th & E St SW,360
17th St & Massachusetts Ave NW,4th & East Capitol St NE,113
17th St & Massachusetts Ave NW,4th & M St SW,279
17th St & Massachusetts Ave NW,4th & W St NE,20
17th St & Massachusetts Ave NW,5th & F St NW,225
17th St & Massachusetts Ave NW,5th & K St NW,801
17th St & Massachusetts Ave NW,5th & Kennedy St NW,10
17th St & Massachusetts Ave NW,5th St & Massachusetts Ave NW,1153
17th St & Massachusetts Ave NW,6th & H St NE,74
17th St & Massachusetts Ave NW,6th & Water St SW / SW Waterfront,97
17th St & Massachusetts Ave NW,6th St & Indiana Ave NW,201
17th St & Massachusetts Ave NW,7th & F St NW / National Portrait Gallery,430
17th St & Massachusetts Ave NW,7th & R St NW / Shaw Library,488
17th St & Massachusetts Ave NW,7th & T St NW,580
17th St & Massachusetts Ave NW,8th & D St NW,291
17th St & Massachusetts Ave NW,8th & East Capitol St NE,192
17th St & Massachusetts Ave NW,8th & Eye St SE / Barracks Row,13
17th St & Massachusetts Ave NW,8th & F St NE,38
17th St & Massachusetts Ave NW,8th & F St NW,42
17th St & Massachusetts Ave NW,8th & H St NW,1302
17th St & Massachusetts Ave NW,8th & O St NW,236
17th St & Massachusetts Ave NW,9th & Upshur St NW,120
17th St & Massachusetts Ave NW,Adams Mill & Columbia Rd NW,589
17th St & Massachusetts Ave NW,Anacostia Ave & Benning Rd NE / River Terrace,2
17th St & Massachusetts Ave NW,Anacostia Metro,2
17th St & Massachusetts Ave NW,Ballston Metro / N Stuart & 9th St N,5
17th St & Massachusetts Ave NW,Benning Rd & East Capitol St NE / Benning Rd Metro,1
17th St & Massachusetts Ave NW,Bladensburg Rd & Benning Rd NE,23
17th St & Massachusetts Ave NW,Branch & Pennsylvania Ave SE,1
17th St & Massachusetts Ave NW,C & O Canal & Wisconsin Ave NW,322
17th St & Massachusetts Ave NW,California St & Florida Ave NW,761
17th St & Massachusetts Ave NW,Calvert & Biltmore St NW,90
17th St & Massachusetts Ave NW,Calvert St & Woodley Pl NW,494
17th St & Massachusetts Ave NW,Carroll & Westmoreland Ave,1
17th St & Massachusetts Ave NW,Central Library / N Quincy St & 10th St N,1
17th St & Massachusetts Ave NW,Clarendon Blvd & N Fillmore St,4
17th St & Massachusetts Ave NW,Clarendon Blvd & Pierce St,30
17th St & Massachusetts Ave NW,Clarendon Metro / Wilson Blvd & N Highland St,8
17th St & Massachusetts Ave NW,Columbia Pike & S Orme St,3
17th St & Massachusetts Ave NW,Columbia Rd & Belmont St NW,228
17th St & Massachusetts Ave NW,Columbia Rd & Georgia Ave NW,234
17th St & Massachusetts Ave NW,Columbus Circle / Union Station,363
17th St & Massachusetts Ave NW,Connecticut & Nebraska Ave NW,5
17th St & Massachusetts Ave NW,Connecticut Ave & Newark St NW / Cleveland Park,90
17th St & Massachusetts Ave NW,Connecticut Ave & Tilden St NW,14
17th St & Massachusetts Ave NW,Connecticut Ave & Yuma St NW,17
17th St & Massachusetts Ave NW,Constitution Ave & 2nd St NW/DOL,173
17th St & Massachusetts Ave NW,Convention Center / 7th & M St NW,1100
17th St & Massachusetts Ave NW,Court House Metro / 15th & N Uhle St,25
17th St & Massachusetts Ave NW,Crystal City Metro / 18th & Bell St,2
17th St & Massachusetts Ave NW,D St & Maryland Ave NE,86
17th St & Massachusetts Ave NW,Duke St & John Carlyle St,1
17th St & Massachusetts Ave NW,Eads St & 15th St S,2
17th St & Massachusetts Ave NW,East West Hwy & Blair Mill Rd,2
17th St & Massachusetts Ave NW,Eastern Market / 7th & North Carolina Ave SE,88
17th St & Massachusetts Ave NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,125
17th St & Massachusetts Ave NW,Eckington Pl & Q St NE,261
17th St & Massachusetts Ave NW,Fessenden St & Wisconsin Ave NW,1
17th St & Massachusetts Ave NW,Florida Ave & R St NW,378
17th St & Massachusetts Ave NW,Fort Totten Metro,1
17th St & Massachusetts Ave NW,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,1
17th St & Massachusetts Ave NW,Gallaudet / 8th St & Florida Ave NE,69
17th St & Massachusetts Ave NW,Georgetown Harbor / 30th St NW,303
17th St & Massachusetts Ave NW,Georgia & Missouri Ave NW,2
17th St & Massachusetts Ave NW,Georgia & New Hampshire Ave NW,217
17th St & Massachusetts Ave NW,Georgia Ave & Emerson St NW,18
17th St & Massachusetts Ave NW,Georgia Ave and Fairmont St NW,64
17th St & Massachusetts Ave NW,Good Hope Rd & MLK Ave SE,1
17th St & Massachusetts Ave NW,Hains Point/Buckeye & Ohio Dr SW,30
17th St & Massachusetts Ave NW,Hamlin & 7th St NE,5
17th St & Massachusetts Ave NW,Harvard St & Adams Mill Rd NW,74
17th St & Massachusetts Ave NW,Henry Bacon Dr & Lincoln Memorial Circle NW,1
17th St & Massachusetts Ave NW,Independence Ave & L'Enfant Plaza SW/DOE,62
17th St & Massachusetts Ave NW,Iwo Jima Memorial/N Meade & 14th St N,22
17th St & Massachusetts Ave NW,Jefferson Dr & 14th St SW,762
17th St & Massachusetts Ave NW,Jefferson Memorial,146
17th St & Massachusetts Ave NW,John McCormack Dr & Michigan Ave NE,3
17th St & Massachusetts Ave NW,Kennedy Center,123
17th St & Massachusetts Ave NW,Key Blvd & N Quinn St,8
17th St & Massachusetts Ave NW,King St Metro South,1
17th St & Massachusetts Ave NW,L'Enfant Plaza / 7th & C St SW,251
17th St & Massachusetts Ave NW,Lamont & Mt Pleasant NW,387
17th St & Massachusetts Ave NW,Lee Hwy & N Scott St,14
17th St & Massachusetts Ave NW,Lincoln Memorial,435
17th St & Massachusetts Ave NW,Lincoln Park / 13th & East Capitol St NE,118
17th St & Massachusetts Ave NW,Lynn & 19th St North,168
17th St & Massachusetts Ave NW,M St & Delaware Ave NE,183
17th St & Massachusetts Ave NW,M St & New Jersey Ave SE,170
17th St & Massachusetts Ave NW,M St & Pennsylvania Ave NW,998
17th St & Massachusetts Ave NW,Maple & Ritchie Ave,1
17th St & Massachusetts Ave NW,Market Square / King St & Royal St,6
17th St & Massachusetts Ave NW,Maryland & Independence Ave SW,277
17th St & Massachusetts Ave NW,Maryland Ave & E St NE,2
17th St & Massachusetts Ave NW,Massachusetts Ave & Dupont Circle NW,1891
17th St & Massachusetts Ave NW,McKinley St & Connecticut Ave NW,1
17th St & Massachusetts Ave NW,Metro Center / 12th & G St NW,504
17th St & Massachusetts Ave NW,MLK Library/9th & G St NW,240
17th St & Massachusetts Ave NW,Mount Vernon Ave & E Del Ray Ave,1
17th St & Massachusetts Ave NW,N Pershing Dr & Wayne St,3
17th St & Massachusetts Ave NW,N Rhodes & 16th St N,6
17th St & Massachusetts Ave NW,N Veitch  & 20th St N,4
17th St & Massachusetts Ave NW,N Veitch & Key Blvd,5
17th St & Massachusetts Ave NW,Neal St & Trinidad Ave NE,61
17th St & Massachusetts Ave NW,New Hampshire Ave & 24th St NW,204
17th St & Massachusetts Ave NW,New Hampshire Ave & T St NW,1397
17th St & Massachusetts Ave NW,New Jersey Ave & N St NW/Dunbar HS,295
17th St & Massachusetts Ave NW,New Jersey Ave & R St NW,264
17th St & Massachusetts Ave NW,New York Ave & 15th St NW,736
17th St & Massachusetts Ave NW,New York Ave & Hecht Ave NE,4
17th St & Massachusetts Ave NW,Norfolk & Rugby Ave,1
17th St & Massachusetts Ave NW,North Capitol St & F St NW,404
17th St & Massachusetts Ave NW,North Capitol St & G Pl NE,134
17th St & Massachusetts Ave NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,81
17th St & Massachusetts Ave NW,Oklahoma Ave & D St NE,2
17th St & Massachusetts Ave NW,Park Rd & Holmead Pl NW,716
17th St & Massachusetts Ave NW,Pentagon City Metro / 12th & S Hayes St,4
17th St & Massachusetts Ave NW,Philadelphia & Maple Ave,2
17th St & Massachusetts Ave NW,Potomac & Pennsylvania Ave SE,25
17th St & Massachusetts Ave NW,Potomac Ave & 8th St SE,10
17th St & Massachusetts Ave NW,Potomac Greens Dr & Slaters Ln,1
17th St & Massachusetts Ave NW,Prince St & Union St,10
17th St & Massachusetts Ave NW,Rhode Island Ave & V St NE,262
17th St & Massachusetts Ave NW,Rhode Island Ave Metro,73
17th St & Massachusetts Ave NW,River Rd & Landy Ln,1
17th St & Massachusetts Ave NW,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,76
17th St & Massachusetts Ave NW,S Glebe & Potomac Ave,1
17th St & Massachusetts Ave NW,S Joyce & Army Navy Dr,3
17th St & Massachusetts Ave NW,Silver Spring Metro/Colesville Rd & Wayne Ave,12
17th St & Massachusetts Ave NW,Smithsonian / Jefferson Dr & 12th St SW,215
17th St & Massachusetts Ave NW,Tenleytown / Wisconsin Ave & Albemarle St NW,11
17th St & Massachusetts Ave NW,Thomas Circle,1944
17th St & Massachusetts Ave NW,Union Market/6th St & Neal Pl NE,44
17th St & Massachusetts Ave NW,US Dept of State / Virginia Ave & 21st St NW,204
17th St & Massachusetts Ave NW,USDA / 12th & Independence Ave SW,140
17th St & Massachusetts Ave NW,Van Ness Metro / UDC,26
17th St & Massachusetts Ave NW,Virginia Square Metro / N Monroe St & 9th St N,1
17th St & Massachusetts Ave NW,Walter Reed Community Center / Walter Reed Dr & 16th St S,2
17th St & Massachusetts Ave NW,Ward Circle / American University,3
17th St & Massachusetts Ave NW,Washington & Independence Ave SW/HHS,146
17th St & Massachusetts Ave NW,Washington Blvd & 10th St N,1
17th St & Massachusetts Ave NW,Wilson Blvd & Franklin Rd,3
17th St & Massachusetts Ave NW,Wilson Blvd & N Edgewood St,9
17th St & Massachusetts Ave NW,Wilson Blvd & N Quincy St,2
17th St & Massachusetts Ave NW,Wilson Blvd & N Uhle St,8
17th St & Massachusetts Ave NW,Wisconsin Ave & Newark St NW,33
17th St & Massachusetts Ave NW,Wisconsin Ave & O St NW,347
18th & C St NW,10th & E St NW,9
18th & C St NW,10th & K St NW,1
18th & C St NW,10th & Monroe St NE,1
18th & C St NW,10th & U St NW,2
18th & C St NW,10th St & Constitution Ave NW,21
18th & C St NW,10th St & L'Enfant Plaza SW,1
18th & C St NW,11th & F St NW,4
18th & C St NW,11th & H St NE,1
18th & C St NW,11th & M St NW,12
18th & C St NW,11th & S St NW,1
18th & C St NW,12th & L St NW,1
18th & C St NW,12th & U St NW,2
18th & C St NW,13th & D St NE,1
18th & C St NW,13th & H St NE,1
18th & C St NW,13th St & New York Ave NW,5
18th & C St NW,14th & Belmont St NW,5
18th & C St NW,14th & D St NW / Ronald Reagan Building,16
18th & C St NW,14th & G St NW,18
18th & C St NW,14th & Girard St NW,1
18th & C St NW,14th & Harvard St NW,1
18th & C St NW,14th & L St NW,3
18th & C St NW,14th & R St NW,5
18th & C St NW,14th & Rhode Island Ave NW,5
18th & C St NW,14th & Upshur St NW,2
18th & C St NW,14th & V St NW,4
18th & C St NW,14th St & New York Ave NW,5
18th & C St NW,15th & Crystal Dr,1
18th & C St NW,15th & East Capitol St NE,5
18th & C St NW,15th & K St NW,2
18th & C St NW,15th & L St NW,6
18th & C St NW,15th & N Scott St,1
18th & C St NW,15th & P St NW,16
18th & C St NW,15th St & Massachusetts Ave SE,1
18th & C St NW,16th & Harvard St NW,1
18th & C St NW,16th & R St NW,1
18th & C St NW,17th & Corcoran St NW,6
18th & C St NW,17th & G St NW,26
18th & C St NW,17th & K St NW,13
18th & C St NW,17th & K St NW / Farragut Square,18
18th & C St NW,17th & Rhode Island Ave NW,7
18th & C St NW,17th St & Independence Ave SW,8
18th & C St NW,17th St & Massachusetts Ave NW,13
18th & C St NW,18th & M St NW,7
18th & C St NW,18th & R St NW,7
18th & C St NW,18th St & Pennsylvania Ave NW,13
18th & C St NW,18th St & Wyoming Ave NW,2
18th & C St NW,19th & E Street NW,2
18th & C St NW,19th & G St NW,6
18th & C St NW,19th & K St NW,5
18th & C St NW,19th & L St NW,2
18th & C St NW,19th St & Constitution Ave NW,22
18th & C St NW,19th St & Pennsylvania Ave NW,6
18th & C St NW,1st & H St NW,5
18th & C St NW,1st & K St SE,17
18th & C St NW,1st & M St NE,3
18th & C St NW,1st & N St SE,1
18th & C St NW,20th & E St NW,9
18th & C St NW,20th & L St NW,4
18th & C St NW,20th & O St NW / Dupont South,3
18th & C St NW,20th St & Florida Ave NW,4
18th & C St NW,20th St & Virginia Ave NW,3
18th & C St NW,21st & I St NW,5
18th & C St NW,21st & M St NW,12
18th & C St NW,21st St & Constitution Ave NW,12
18th & C St NW,21st St & Pennsylvania Ave NW,4
18th & C St NW,22nd & I St NW / Foggy Bottom,13
18th & C St NW,23rd & E St NW ,5
18th & C St NW,24th & N St NW,5
18th & C St NW,25th St & Pennsylvania Ave NW,9
18th & C St NW,2nd & G St NE,2
18th & C St NW,2nd St & Massachusetts Ave NE,12
18th & C St NW,33rd & Water St NW,1
18th & C St NW,36th & Calvert St NW / Glover Park,1
18th & C St NW,37th & O St NW / Georgetown University,1
18th & C St NW,39th & Calvert St NW / Stoddert,1
18th & C St NW,3rd & D St SE,10
18th & C St NW,3rd & G St SE,2
18th & C St NW,3rd & H St NE,13
18th & C St NW,3rd & H St NW,3
18th & C St NW,3rd & Tingey St SE,1
18th & C St NW,3rd St & Pennsylvania Ave SE,3
18th & C St NW,4th & D St NW / Judiciary Square,1
18th & C St NW,4th & E St SW,13
18th & C St NW,4th & East Capitol St NE,2
18th & C St NW,4th & M St SW,41
18th & C St NW,4th & W St NE,5
18th & C St NW,5th & F St NW,12
18th & C St NW,5th & K St NW,17
18th & C St NW,5th St & Massachusetts Ave NW,8
18th & C St NW,6th & H St NE,1
18th & C St NW,6th & Water St SW / SW Waterfront,12
18th & C St NW,6th St & Indiana Ave NW,1
18th & C St NW,7th & F St NW / National Portrait Gallery,15
18th & C St NW,7th & R St NW / Shaw Library,4
18th & C St NW,7th & T St NW,2
18th & C St NW,8th & D St NW,23
18th & C St NW,8th & East Capitol St NE,8
18th & C St NW,8th & Eye St SE / Barracks Row,1
18th & C St NW,8th & H St NW,12
18th & C St NW,8th & O St NW,9
18th & C St NW,Adams Mill & Columbia Rd NW,5
18th & C St NW,Arlington Blvd & N Queen St,1
18th & C St NW,C & O Canal & Wisconsin Ave NW,4
18th & C St NW,California St & Florida Ave NW,4
18th & C St NW,Calvert & Biltmore St NW,1
18th & C St NW,Calvert St & Woodley Pl NW,2
18th & C St NW,Clarendon Blvd & Pierce St,1
18th & C St NW,Columbus Circle / Union Station,49
18th & C St NW,Constitution Ave & 2nd St NW/DOL,23
18th & C St NW,Convention Center / 7th & M St NW,5
18th & C St NW,D St & Maryland Ave NE,9
18th & C St NW,Eads St & 15th St S,1
18th & C St NW,Eastern Market / 7th & North Carolina Ave SE,2
18th & C St NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,6
18th & C St NW,Eckington Pl & Q St NE,1
18th & C St NW,Florida Ave & R St NW,2
18th & C St NW,Georgetown Harbor / 30th St NW,12
18th & C St NW,Georgia & New Hampshire Ave NW,1
18th & C St NW,Hains Point/Buckeye & Ohio Dr SW,2
18th & C St NW,Henry Bacon Dr & Lincoln Memorial Circle NW,27
18th & C St NW,Independence Ave & L'Enfant Plaza SW/DOE,15
18th & C St NW,Iwo Jima Memorial/N Meade & 14th St N,31
18th & C St NW,Jefferson Dr & 14th St SW,49
18th & C St NW,Jefferson Memorial,42
18th & C St NW,Kennedy Center,5
18th & C St NW,L'Enfant Plaza / 7th & C St SW,66
18th & C St NW,Lamont & Mt Pleasant NW,1
18th & C St NW,Lee Hwy & N Scott St,2
18th & C St NW,Lincoln Memorial,150
18th & C St NW,Lincoln Park / 13th & East Capitol St NE,4
18th & C St NW,Lynn & 19th St North,6
18th & C St NW,M St & Delaware Ave NE,4
18th & C St NW,M St & New Jersey Ave SE,5
18th & C St NW,M St & Pennsylvania Ave NW,11
18th & C St NW,Maryland & Independence Ave SW,24
18th & C St NW,Maryland Ave & E St NE,2
18th & C St NW,Massachusetts Ave & Dupont Circle NW,17
18th & C St NW,Metro Center / 12th & G St NW,18
18th & C St NW,MLK Library/9th & G St NW,7
18th & C St NW,Mount Vernon Ave & E Del Ray Ave,1
18th & C St NW,Mount Vernon Ave & Kennedy St,1
18th & C St NW,New Hampshire Ave & 24th St NW,4
18th & C St NW,New Hampshire Ave & T St NW,13
18th & C St NW,New Jersey Ave & N St NW/Dunbar HS,2
18th & C St NW,New Jersey Ave & R St NW,3
18th & C St NW,New York Ave & 15th St NW,35
18th & C St NW,North Capitol St & F St NW,14
18th & C St NW,North Capitol St & G Pl NE,5
18th & C St NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,18
18th & C St NW,Pentagon City Metro / 12th & S Hayes St,3
18th & C St NW,Potomac & Pennsylvania Ave SE,1
18th & C St NW,Rolfe St & 9th St S,1
18th & C St NW,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,8
18th & C St NW,S George Mason Dr & Four Mile Run,1
18th & C St NW,S Glebe & Potomac Ave,2
18th & C St NW,S Joyce & 16th St S,1
18th & C St NW,S Joyce & Army Navy Dr,1
18th & C St NW,Smithsonian / Jefferson Dr & 12th St SW,29
18th & C St NW,Thomas Circle,5
18th & C St NW,US Dept of State / Virginia Ave & 21st St NW,3
18th & C St NW,USDA / 12th & Independence Ave SW,9
18th & C St NW,Washington & Independence Ave SW/HHS,16
18th & C St NW,Wisconsin Ave & O St NW,4
18th & Eads St.,10th & E St NW,5
18th & Eads St.,10th St & Constitution Ave NW,9
18th & Eads St.,11th & F St NW,4
18th & Eads St.,11th & Kenyon St NW,3
18th & Eads St.,12th & Army Navy Dr,121
18th & Eads St.,12th & L St NW,3
18th & Eads St.,13th & D St NE,2
18th & Eads St.,13th St & New York Ave NW,14
18th & Eads St.,14th & D St NW / Ronald Reagan Building,3
18th & Eads St.,14th & G St NW,8
18th & Eads St.,14th & L St NW,1
18th & Eads St.,14th & Rhode Island Ave NW,1
18th & Eads St.,14th & V St NW,2
18th & Eads St.,14th St & New York Ave NW,86
18th & Eads St.,15th & Crystal Dr,144
18th & Eads St.,15th & K St NW,34
18th & Eads St.,15th & P St NW,4
18th & Eads St.,17th & G St NW,2
18th & Eads St.,17th & K St NW / Farragut Square,13
18th & Eads St.,17th & Rhode Island Ave NW,3
18th & Eads St.,18th & M St NW,2
18th & Eads St.,18th St & Pennsylvania Ave NW,14
18th & Eads St.,19th St & Constitution Ave NW,10
18th & Eads St.,19th St & Pennsylvania Ave NW,3
18th & Eads St.,1st & H St NW,1
18th & Eads St.,1st & K St SE,1
18th & Eads St.,1st & N St SE,2
18th & Eads St.,20th & Crystal Dr,224
18th & Eads St.,20th & E St NW,2
18th & Eads St.,20th & L St NW,2
18th & Eads St.,20th St & Florida Ave NW,1
18th & Eads St.,20th St & Virginia Ave NW,3
18th & Eads St.,21st & I St NW,14
18th & Eads St.,21st & M St NW,1
18th & Eads St.,21st St & Constitution Ave NW,14
18th & Eads St.,22nd & I St NW / Foggy Bottom,17
18th & Eads St.,23rd & Crystal Dr,443
18th & Eads St.,23rd & E St NW ,20
18th & Eads St.,23rd & Eads St,514
18th & Eads St.,24th & N St NW,4
18th & Eads St.,25th St & Pennsylvania Ave NW,12
18th & Eads St.,26th & S Clark St,135
18th & Eads St.,27th & Crystal Dr,304
18th & Eads St.,28th St S & S Meade St,272
18th & Eads St.,3000 Connecticut Ave NW / National Zoo,2
18th & Eads St.,33rd & Water St NW,4
18th & Eads St.,36th & Calvert St NW / Glover Park,2
18th & Eads St.,37th & O St NW / Georgetown University,9
18th & Eads St.,3rd & D St SE,1
18th & Eads St.,3rd & H St NE,1
18th & Eads St.,3rd & Tingey St SE,1
18th & Eads St.,3rd St & Pennsylvania Ave SE,2
18th & Eads St.,4th & D St NW / Judiciary Square,2
18th & Eads St.,4th & E St SW,4
18th & Eads St.,4th & East Capitol St NE,1
18th & Eads St.,4th & M St SW,9
18th & Eads St.,5th & F St NW,1
18th & Eads St.,5th St & Massachusetts Ave NW,1
18th & Eads St.,6th & H St NE,1
18th & Eads St.,6th & S Ball St,9
18th & Eads St.,6th & Water St SW / SW Waterfront,7
18th & Eads St.,6th St & Indiana Ave NW,4
18th & Eads St.,7th & F St NW / National Portrait Gallery,5
18th & Eads St.,7th & T St NW,1
18th & Eads St.,8th & D St NW,11
18th & Eads St.,8th & Eye St SE / Barracks Row,3
18th & Eads St.,8th & F St NW,1
18th & Eads St.,8th & H St NW,2
18th & Eads St.,Army Navy Dr & S Nash St,7
18th & Eads St.,Aurora Hills Community Ctr/18th & Hayes St,178
18th & Eads St.,Ballenger Ave & Dulaney St,4
18th & Eads St.,Braddock Rd Metro,17
18th & Eads St.,C & O Canal & Wisconsin Ave NW,34
18th & Eads St.,Calvert St & Woodley Pl NW,3
18th & Eads St.,Central Library / N Quincy St & 10th St N,1
18th & Eads St.,Clarendon Blvd & Pierce St,2
18th & Eads St.,Columbia Pike & S Courthouse Rd,22
18th & Eads St.,Columbia Pike & S Orme St,13
18th & Eads St.,Columbia Pike & S Walter Reed Dr,10
18th & Eads St.,Columbus Circle / Union Station,12
18th & Eads St.,Commerce St & Fayette St,1
18th & Eads St.,Commonwealth & E Monroe Ave,1
18th & Eads St.,Constitution Ave & 2nd St NW/DOL,7
18th & Eads St.,Court House Metro / 15th & N Uhle St,2
18th & Eads St.,Crystal City Metro / 18th & Bell St,302
18th & Eads St.,Duke St & John Carlyle St,2
18th & Eads St.,Eads St & 15th St S,8
18th & Eads St.,Eastern Market / 7th & North Carolina Ave SE,2
18th & Eads St.,Eastern Market Metro / Pennsylvania Ave & 7th St SE,3
18th & Eads St.,Fairfax Dr & Wilson Blvd,2
18th & Eads St.,Georgetown Harbor / 30th St NW,48
18th & Eads St.,Georgia & New Hampshire Ave NW,3
18th & Eads St.,Hains Point/Buckeye & Ohio Dr SW,6
18th & Eads St.,Henry Bacon Dr & Lincoln Memorial Circle NW,2
18th & Eads St.,Henry St & Pendleton St,9
18th & Eads St.,Independence Ave & L'Enfant Plaza SW/DOE,59
18th & Eads St.,Iwo Jima Memorial/N Meade & 14th St N,12
18th & Eads St.,Jefferson Dr & 14th St SW,62
18th & Eads St.,Jefferson Memorial,740
18th & Eads St.,Kennedy Center,5
18th & Eads St.,King St & Patrick St,7
18th & Eads St.,King St Metro South,18
18th & Eads St.,L'Enfant Plaza / 7th & C St SW,34
18th & Eads St.,Lamont & Mt Pleasant NW,2
18th & Eads St.,Lincoln Memorial,238
18th & Eads St.,Long Bridge Park/Long Bridge Dr & 6th St S,39
18th & Eads St.,Lynn & 19th St North,50
