Ridership	start_terminalName	start_lat	start_long	end_terminalName	end_lat	end_long
5	31120	38.920387	-77.025672	31511	38.928644	-76.990955
53	31120	38.920387	-77.025672	31251	38.903819	-77.0284
24	31120	38.920387	-77.025672	31501	38.933668	-76.991016
163	31120	38.920387	-77.025672	31268	38.916787	-77.028139
13	31120	38.920387	-77.025672	31622	38.894832	-76.987633
47	31120	38.920387	-77.025672	31611	38.9003	-76.9882
361	31120	38.920387	-77.025672	31227	38.900283	-77.029822
286	31120	38.920387	-77.025672	31119	38.921074	-77.031887
63	31120	38.920387	-77.025672	31231	38.894514	-77.031617
192	31120	38.920387	-77.025672	31238	38.898069	-77.031823
10	31120	38.920387	-77.025672	31123	38.925284	-77.032375
204	31120	38.920387	-77.025672	31105	38.9268	-77.0322
4	31120	38.920387	-77.025672	31283	38.903658	-77.031737
302	31120	38.920387	-77.025672	31202	38.912682	-77.031681
216	31120	38.920387	-77.025672	31203	38.9086	-77.0323
31	31120	38.920387	-77.025672	31406	38.942016	-77.032652
456	31120	38.920387	-77.025672	31101	38.9176	-77.0321
8	31120	38.920387	-77.025672	31407	38.956432	-77.032947
95	31120	38.920387	-77.025672	31216	38.899632	-77.031686
101	31120	38.920387	-77.025672	31401	38.9375	-77.0328
16	31120	38.920387	-77.025672	31402	38.947774	-77.032818
2	31120	38.920387	-77.025672	31003	38.86017	-77.049593
7	31120	38.920387	-77.025672	31630	38.889908	-76.983326
95	31120	38.920387	-77.025672	31117	38.92333	-77.0352
8	31120	38.920387	-77.025672	31632	38.897195	-76.983575
100	31120	38.920387	-77.025672	31254	38.902	-77.03353
217	31120	38.920387	-77.025672	31276	38.90366	-77.034846
371	31120	38.920387	-77.025672	31201	38.90985	-77.034438
1	31120	38.920387	-77.025672	31626	38.88732	-76.983569
127	31120	38.920387	-77.025672	31103	38.926088	-77.036536
6	31120	38.920387	-77.025672	31122	38.928893	-77.03625
18	31120	38.920387	-77.025672	31282	38.912652	-77.036278
254	31120	38.920387	-77.025672	31214	38.9121	-77.0387
39	31120	38.920387	-77.025672	31277	38.89841	-77.039624
285	31120	38.920387	-77.025672	31213	38.90276	-77.03863
93	31120	38.920387	-77.025672	31233	38.902061	-77.038322
406	31120	38.920387	-77.025672	31239	38.906602	-77.038785
195	31120	38.920387	-77.025672	31267	38.908142	-77.038359
1	31120	38.920387	-77.025672	31284	38.893511	-77.041544
72	31120	38.920387	-77.025672	31221	38.904742	-77.041606
100	31120	38.920387	-77.025672	31278	38.912648	-77.041834
53	31120	38.920387	-77.025672	31242	38.89968	-77.041539
17	31120	38.920387	-77.025672	31510	38.927095	-76.978924
105	31120	38.920387	-77.025672	31114	38.918809	-77.041571
10	31120	38.920387	-77.025672	31206	38.8952	-77.0436
7	31120	38.920387	-77.025672	31601	38.8896	-76.9769
19	31120	38.920387	-77.025672	31279	38.898412	-77.043182
92	31120	38.920387	-77.025672	31253	38.902204	-77.04337
90	31120	38.920387	-77.025672	31224	38.903407	-77.043648
46	31120	38.920387	-77.025672	31235	38.8923	-77.0436
67	31120	38.920387	-77.025672	31100	38.9003	-77.0429
108	31120	38.920387	-77.025672	31638	38.900358	-77.012108
58	31120	38.920387	-77.025672	31628	38.87861	-77.006004
224	31120	38.920387	-77.025672	31603	38.9057	-77.0056
13	31120	38.920387	-77.025672	31519	38.908643	-77.012365
180	31120	38.920387	-77.025672	31506	38.915417	-77.012289
53	31120	38.920387	-77.025672	31507	38.928743	-77.012457
51	31120	38.920387	-77.025672	31204	38.8963	-77.045
83	31120	38.920387	-77.025672	31250	38.903584	-77.044789
200	31120	38.920387	-77.025672	31234	38.908905	-77.04478
242	31120	38.920387	-77.025672	31110	38.9154	-77.0446
25	31120	38.920387	-77.025672	31259	38.894722	-77.045128
199	31120	38.920387	-77.025672	31205	38.9008	-77.047
362	31120	38.920387	-77.025672	31212	38.90534	-77.046774
31	31120	38.920387	-77.025672	31261	38.892459	-77.046567
126	31120	38.920387	-77.025672	31252	38.901539	-77.046564
60	31120	38.920387	-77.025672	31257	38.90088	-77.048911
140	31120	38.920387	-77.025672	31260	38.896104	-77.049882
66	31120	38.920387	-77.025672	31255	38.9066	-77.05152
46	31120	38.920387	-77.025672	31237	38.903827	-77.053485
81	31120	38.920387	-77.025672	31639	38.89967	-77.003666
2	31120	38.920387	-77.025672	31641	38.894972	-77.003135
11	31120	38.920387	-77.025672	31307	38.930282	-77.055599
26	31120	38.920387	-77.025672	31314	38.903295	-77.065884
10	31120	38.920387	-77.025672	31226	38.916442	-77.0682
4	31120	38.920387	-77.025672	31304	38.922581	-77.070334
122	31120	38.920387	-77.025672	31236	38.90774	-77.071652
