StartDate,Ridership
2012/1/13,3207
2012/1/14,2491
2012/1/15,2306
2012/1/16,2295
2012/1/17,2931
2012/1/18,3370
2012/1/19,3285
2012/1/20,3156
2012/1/21,1300
2012/1/22,1975
2012/1/23,2429
2012/1/24,4327
2012/1/25,4259
2012/1/26,4060
2012/1/27,3449
2012/1/28,4019
2012/1/29,3240
2012/1/30,3615
2012/1/31,4501
2012/2/1,4574
2012/2/2,3754
2012/2/3,4146
2012/2/4,2831
2012/2/5,2944
2012/2/6,3779
2012/2/7,4363
2012/2/8,2794
2012/2/9,3824
2012/2/10,3822
2012/2/11,2168
2012/2/12,1529
2012/2/13,3419
2012/2/14,3909
2012/2/15,4160
2012/2/16,3000
2012/2/17,4145
2012/2/18,4316
2012/2/19,2689
2012/2/20,3127
2012/2/21,3771
2012/2/22,4767
2012/2/23,5048
2012/2/24,3480
2012/2/25,2732
2012/2/26,3389
2012/2/27,4317
2012/2/28,4353
2012/2/29,1829
2012/3/1,4978
2012/3/2,3190
2012/3/3,4061
2012/3/4,3418
2012/3/5,3331
2012/3/6,3946
2012/3/7,4907
2012/3/8,5374
2012/3/9,4561
2012/3/10,4116
2012/3/11,4906
2012/3/12,5290
2012/3/13,5833
2012/3/14,6305
2012/3/15,6183
2012/3/16,4368
2012/3/17,7832
2012/3/18,5890
2012/3/19,6146
2012/3/20,6088
2012/3/21,6221
2012/3/22,6859
2012/3/23,8351
2012/3/24,3367
2012/3/25,4993
2012/3/26,5549
2012/3/27,5093
2012/3/28,5692
2012/3/29,6126
2012/3/30,5447
2012/3/31,6233
2012/4/1,6038
2012/4/2,5920
2012/4/3,6757
2012/4/4,6419
2012/4/5,6441
2012/4/6,6453
2012/4/7,6855
2012/4/8,5168
2012/4/9,5576
2012/4/10,5907
2012/4/11,4849
2012/4/12,5396
2012/4/13,6389
2012/4/14,7458
2012/4/15,7124
2012/4/16,6361
2012/4/17,6671
2012/4/18,4360
2012/4/19,6547
2012/4/20,7273
2012/4/21,6621
2012/4/22,1023
2012/4/23,3204
2012/4/24,5621
2012/4/25,6187
2012/4/26,5020
2012/4/27,6225
2012/4/28,4220
2012/4/29,6302
2012/4/30,5569
2012/5/1,5733
2012/5/2,6158
2012/5/3,6415
2012/5/4,6288
2012/5/5,6883
2012/5/6,6355
2012/5/7,6267
2012/5/8,5719
2012/5/9,4710
2012/5/10,6563
2012/5/11,7019
2012/5/12,7427
2012/5/13,6116
2012/5/14,2842
2012/5/15,5109
2012/5/16,7412
2012/5/17,7371
2012/5/18,7631
2012/5/19,8292
2012/5/20,7124
2012/5/21,4355
2012/5/22,6060
2012/5/23,5249
2012/5/24,6759
2012/5/25,6720
2012/5/26,6533
2012/5/27,6588
2012/5/28,6038
2012/5/29,5733
2012/5/30,6840
2012/5/31,7328
2012/6/1,4118
2012/6/2,8118
2012/6/3,7641
2012/6/4,6994
2012/6/5,6997
2012/6/6,7048
2012/6/7,7489
2012/6/8,7730
2012/6/9,7496
2012/6/10,6595
2012/6/11,6655
2012/6/12,4961
2012/6/13,7416
2012/6/14,7359
2012/6/15,7656
2012/6/16,7698
2012/6/17,6968
2012/6/18,5092
2012/6/19,6812
2012/6/20,6196
2012/6/21,5891
2012/6/22,5810
2012/6/23,7452
2012/6/24,6889
2012/6/25,6769
2012/6/26,7425
2012/6/27,7323
2012/6/28,6868
2012/6/29,5455
2012/6/30,5679
2012/7/1,5531
2012/7/2,6227
2012/7/3,6660
2012/7/4,7403
