id,name,terminalName,lat,long,nbBikes,nbEmptyDocks
200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,14,0
27,21st & I St NW,31205,38.9008,-77.047,30,2
97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,9,6
96,3rd & H St NE,31616,38.900412,-77.001949,11,8
319,1st & H St NW,31638,38.900358,-77.012108,4,11
14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,7,7
81,13th & H St NE,31611,38.9003,-76.9882,7,20
91,13th St & New York Ave NW,31227,38.900283,-77.029822,13,9
111,11th & H St NE,31614,38.899983,-76.991383,2,16
95,6th & H St NE,31615,38.899972,-76.998347,10,13
310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,14,5
92,8th & H St NW,31228,38.8997,-77.023086,31,2
141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,15,12
369,2nd & G St NE,31639,38.89967,-77.003666,5,18
69,14th St & New York Ave NW,31216,38.899632,-77.031686,12,11
55,3rd & H St NW,31604,38.899408,-77.015289,0,14
83,New York Ave & 15th St NW,31222,38.8991,-77.0337,7,7
355,21st St N & N Pierce St,31093,38.898984,-77.078317,2,13
303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,7,4
357,19th & G St NW,31279,38.898412,-77.043182,14,8
349,17th & G St NW,31277,38.89841,-77.039624,6,22
334,MLK Library/9th & G St NW,31274,38.898404,-77.024281,21,1
103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,30,0
379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,2,16
117,14th & G St NW,31238,38.898069,-77.031823,9,11
125,11th & F St NW,31262,38.897857,-77.026975,9,6
335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,3,12
114,North Capitol St & F St NW,31624,38.897446,-77.009888,18,5
422,Division Ave & Foote St NE,31713,38.897407,-76.925907,8,7
105,7th & F St NW / National Portrait Gallery,31232,38.897351,-77.022465,21,3
127,Lynn & 19th St North,31014,38.897315,-77.070993,11,19
77,Kennedy Center,31211,38.897293,-77.05557,16,2
234,8th & F St NE,31631,38.897274,-76.994749,4,11
82,5th & F St NW,31620,38.897222,-77.019347,24,7
236,15th & F St NE,31632,38.897195,-76.983575,3,16
37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,5,10
113,Columbus Circle / Union Station,31623,38.89696,-77.00493,36,7
158,N Veitch  & 20th St N,31029,38.896923,-77.086502,1,13
152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,6,9
354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,6,9
26,20th & E St NW,31204,38.8963,-77.045,7,8
374,Maryland Ave & E St NE,31640,38.896134,-76.9929,2,17
126,23rd & E St NW,31260,38.896104,-77.049882,17,1
161,Key Blvd & N Quinn St,31027,38.896015,-77.078107,6,5
173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,4,15
199,10th & E St NW,31256,38.895914,-77.026064,9,5
356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,13,1
