stationName,id,terminalName,lat,long,nbBikes,nbEmptyDocks
Gallaudet / 8th St & Florida Ave NE,183,31508,38.90509,-76.9941,6,13
20th & L St NW,185,31250,38.903584,-77.044789,18,1
12th & L St NW,186,31251,38.903819,-77.0284,3,16
21st St & Pennsylvania Ave NW,187,31252,38.901539,-77.046564,15,4
19th & K St NW,188,31253,38.902204,-77.04337,21,2
Prince St & Union St,189,31041,38.803124,-77.040363,19,0
Market Square / King St & Royal St,190,31042,38.804718,-77.043363,13,1
Saint Asaph St & Pendleton  St,191,31043,38.810743,-77.044664,13,1
King St & Patrick St,192,31044,38.805317,-77.049883,8,7
15th & K St NW,193,31254,38.902,-77.03353,21,6
Commerce St & Fayette St,194,31045,38.805648,-77.05293,2,13
Henry St & Pendleton St,195,31046,38.811456,-77.050276,9,6
Braddock Rd Metro,196,31047,38.814577,-77.052808,18,8
King St Metro South,197,31048,38.805767,-77.06072,3,20
24th & N St NW,198,31255,38.9066,-77.05152,6,9
10th & E St NW,199,31256,38.895914,-77.026064,9,5
22nd & I St NW / Foggy Bottom,200,31257,38.90088,-77.048911,14,0
Utah St & 11th St N,201,31049,38.883669,-77.113905,6,5
Barton St & 10th St N,202,31050,38.884961,-77.08777,6,5
Arlington Blvd & N Queen St,203,31051,38.889365,-77.077294,4,7
Lincoln Memorial,204,31258,38.888251,-77.049426,0,23
20th St & Virginia Ave NW,206,31259,38.894722,-77.045128,1,14
5th St & Massachusetts Ave NW,207,31265,38.90093,-77.018677,6,13
39th & Veazey St NW,208,31308,38.943837,-77.077078,3,12
Fessenden St & Wisconsin Ave NW,209,31309,38.954812,-77.082426,3,12
M St & Delaware Ave NE,210,31627,38.905707,-77.003041,12,9
18th St & Wyoming Ave NW,214,31114,38.918809,-77.041571,0,23
5th & Kennedy St NW,215,31403,38.956595,-77.019815,9,6
14th & Upshur St NW,217,31406,38.942016,-77.032652,4,15
14th St & Colorado Ave NW,218,31407,38.956432,-77.032947,9,10
Wisconsin Ave & O St NW,226,31312,38.90849,-77.063586,12,6
Connecticut & Nebraska Ave NW,228,31310,38.955016,-77.069956,12,10
17th St & Massachusetts Ave NW,229,31267,38.908142,-77.038359,0,17
15th & Euclid St  NW,230,31117,38.92333,-77.0352,1,14
8th & East Capitol St NE,231,31629,38.889988,-76.995193,0,11
New Jersey Ave & R St NW,232,31509,38.912659,-77.017669,7,7
15th & East Capitol St NE,233,31630,38.889908,-76.983326,5,6
8th & F St NE,234,31631,38.897274,-76.994749,4,11
18th St & Rhode Island Ave NE,235,31510,38.927095,-76.978924,1,14
15th & F St NE,236,31632,38.897195,-76.983575,3,16
12th & Irving St NE,237,31511,38.928644,-76.990955,2,12
Alabama & MLK Ave SE,239,31800,38.843222,-76.999388,7,4
Pleasant St & MLK Ave SE,240,31807,38.863897,-76.990037,6,5
Neal St & Trinidad Ave NE,241,31512,38.903732,-76.987211,4,11
12th & U St NW,242,31268,38.916787,-77.028139,1,30
N Pershing Dr & Wayne St,245,31065,38.880705,-77.08596,5,6
Columbia Pike & S Orme St,246,31066,38.867262,-77.072315,5,5
3rd St & Pennsylvania Ave SE,247,31269,38.887378,-77.001955,1,13
8th & D St NW,248,31270,38.894851,-77.02324,11,4
3rd & Elm St NW,249,31118,38.917622,-77.01597,2,13
Constitution Ave & 2nd St NW/DOL,251,31271,38.892275,-77.013917,13,12
Washington & Independence Ave SW/HHS,252,31272,38.886978,-77.013769,19,11
Independence Ave & L'Enfant Plaza SW/DOE,253,31633,38.887312,-77.025762,3,12
Hamlin & 7th St NE,254,31514,38.927497,-76.997194,3,11
Pershing & N George Mason Dr,257,31069,38.871822,-77.107906,0,11
14th & Belmont St NW,272,31119,38.921074,-77.031887,1,13
3rd & Tingey St SE,273,31634,38.87501,-77.0024,0,18
10th & Florida Ave NW,274,31120,38.920387,-77.025672,5,14
Potomac Ave & 8th St SE,275,31635,38.876737,-76.994468,7,7
Calvert St & Woodley Pl NW,301,31121,38.923583,-77.050046,1,18
New Jersey Ave & N St NW/Dunbar HS,302,31636,38.90706,-77.015231,3,15
Hains Point/Buckeye & Ohio Dr SW,305,31273,38.878433,-77.03023,0,17
North Capitol St & G Pl NE,310,31637,38.899703,-77.008911,14,5
Connecticut Ave & Tilden St NW,314,31313,38.941154,-77.062036,9,6
1st & H St NW,319,31638,38.900358,-77.012108,4,11
Fort Totten Metro,320,31515,38.952369,-77.002721,4,15
Rhode Island Ave Metro,322,31516,38.920682,-76.995876,0,19
River Rd & Landy Ln,326,32046,38.964992,-77.103381,10,8
Iwo Jima Memorial/N Meade & 14th St N,329,31077,38.88992,-77.071301,9,10
33rd & Water St NW,330,31314,38.903295,-77.065884,1,18
Lee Hwy & N Cleveland St,332,31079,38.894941,-77.09169,4,10
MLK Library/9th & G St NW,334,31274,38.898404,-77.024281,21,1
Lee Hwy & N Scott St,335,31080,38.897612,-77.080851,3,12
New Hampshire Ave & 24th St NW,336,31275,38.901755,-77.051084,16,3
Potomac Greens Dr & Slaters Ln,338,31083,38.82175,-77.047494,2,9
Ballenger Ave & Dulaney St,339,31084,38.802677,-77.063562,12,7
Mount Vernon Ave & E Nelson Ave,340,31085,38.820064,-77.057619,4,7
Mount Vernon Ave & E Del Ray Ave,341,31086,38.82595,-77.058541,7,8
Monroe Ave & Leslie Ave,342,31087,38.820932,-77.053096,4,11
Mount Vernon Ave & Kennedy St,343,31088,38.833077,-77.059821,15,0
Court House Metro / 15th & N Uhle St,344,31089,38.890612,-77.084801,9,12
15th & L St NW,348,31276,38.90366,-77.034846,8,15
17th & G St NW,349,31277,38.89841,-77.039624,6,22
18th & R St NW,351,31278,38.912648,-77.041834,6,10
S Joyce & 16th St S,352,31091,38.859254,-77.063275,6,9
Union Market/6th St & Neal Pl NE,353,31517,38.908008,-76.996985,18,3
21st St N & N Pierce St,355,31093,38.898984,-77.078317,2,13
19th & G St NW,357,31279,38.898412,-77.043182,14,8
11th & S St NW,367,31280,38.913761,-77.027025,3,20
2nd & G St NE,369,31639,38.89967,-77.003666,5,18
8th & O St NW,370,31281,38.90864,-77.02277,6,13
Oklahoma Ave & D St NE,373,31712,38.894474,-76.974828,7,12
Maryland Ave & E St NE,374,31640,38.896134,-76.9929,2,17
16th & K St NW,419,31291,38.90268,-77.035737,21,2
