start_day,Category_ID,Ridership
2010/10/9,14,88
2010/10/9,15,94
2010/10/9,16,133
2010/10/9,17,97
2010/10/9,18,88
2010/10/9,19,54
2010/10/9,20,39
2010/10/9,21,35
2010/10/9,22,44
2010/10/9,23,22
2010/10/10,0,22
2010/10/10,1,14
2010/10/10,2,21
2010/10/10,3,5
2010/10/10,4,1
2010/10/10,6,5
2010/10/10,7,8
2010/10/10,8,12
2010/10/10,9,43
2010/10/10,10,69
2010/10/10,11,76
2010/10/10,12,99
2010/10/10,13,109
2010/10/10,14,84
2010/10/10,15,90
2010/10/10,16,127
2010/10/10,17,103
2010/10/10,18,79
2010/10/10,19,38
2010/10/10,20,34
2010/10/10,21,26
2010/10/10,22,25
2010/10/10,23,24
2010/10/11,0,5
2010/10/11,1,13
2010/10/11,2,5
2010/10/11,3,2
2010/10/11,5,1
2010/10/11,6,4
2010/10/11,7,17
2010/10/11,8,45
2010/10/11,9,39
2010/10/11,10,55
2010/10/11,11,57
2010/10/11,12,91
2010/10/11,13,60
2010/10/11,14,77
2010/10/11,15,63
2010/10/11,16,72
2010/10/11,17,99
2010/10/11,18,95
2010/10/11,19,79
2010/10/11,20,46
2010/10/11,21,33
2010/10/11,22,20
2010/10/11,23,7
2010/10/12,0,4
2010/10/12,1,4
2010/10/12,3,1
2010/10/12,4,1
2010/10/12,6,14
2010/10/12,7,52
2010/10/12,8,109
2010/10/12,9,58
2010/10/12,10,39
2010/10/12,11,35
2010/10/12,12,53
2010/10/12,13,61
2010/10/12,14,50
2010/10/12,15,48
2010/10/12,16,76
2010/10/12,17,127
2010/10/12,18,124
2010/10/12,19,85
2010/10/12,20,49
2010/10/12,21,49
2010/10/12,22,25
2010/10/12,23,32
2010/10/13,0,6
2010/10/13,1,3
2010/10/13,2,2
2010/10/13,5,2
2010/10/13,6,19
2010/10/13,7,50
2010/10/13,8,108
2010/10/13,9,68
2010/10/13,10,57
2010/10/13,11,39
2010/10/13,12,76
2010/10/13,13,52
2010/10/13,14,40
2010/10/13,15,39
2010/10/13,16,62
2010/10/13,17,135
2010/10/13,18,122
2010/10/13,19,86
2010/10/13,20,58
2010/10/13,21,52
2010/10/13,22,47
2010/10/13,23,16
2010/10/14,0,5
2010/10/14,1,1
2010/10/14,2,4
2010/10/14,3,1
2010/10/14,4,1
2010/10/14,5,1
2010/10/14,6,17
2010/10/14,7,34
2010/10/14,8,31
2010/10/14,9,4
2010/10/14,10,9
2010/10/14,11,3
2010/10/14,12,2
2010/10/14,13,1
2010/10/14,14,10
2010/10/14,15,20
2010/10/14,16,35
2010/10/14,17,108
2010/10/14,18,96
2010/10/14,19,67
2010/10/14,20,34
2010/10/14,21,48
2010/10/14,22,30
2010/10/14,23,21
2010/10/15,0,15
2010/10/15,1,10
2010/10/15,2,5
2010/10/15,5,1
2010/10/15,6,14
2010/10/15,7,48
2010/10/15,8,88
2010/10/15,9,80
2010/10/15,10,40
2010/10/15,11,65
2010/10/15,12,74
2010/10/15,13,52
2010/10/15,14,72
2010/10/15,15,69
2010/10/15,16,63
2010/10/15,17,129
2010/10/15,18,128
2010/10/15,19,61
2010/10/15,20,46
2010/10/15,21,34
2010/10/15,22,29
2010/10/15,23,32
2010/10/16,0,29
2010/10/16,1,15
2010/10/16,2,4
2010/10/16,3,4
2010/10/16,4,1
2010/10/16,5,3
2010/10/16,6,7
2010/10/16,7,10
2010/10/16,8,28
2010/10/16,9,38
2010/10/16,10,73
2010/10/16,11,108
2010/10/16,12,106
2010/10/16,13,136
2010/10/16,14,148
2010/10/16,15,138
2010/10/16,16,115
2010/10/16,17,132
2010/10/16,18,94
2010/10/16,19,48
2010/10/16,20,43
2010/10/16,21,46
2010/10/16,22,41
2010/10/16,23,34
2010/10/17,0,20
2010/10/17,1,17
2010/10/17,2,16
2010/10/17,3,7
2010/10/17,4,3
2010/10/17,5,1
2010/10/17,6,3
2010/10/17,7,4
2010/10/17,8,30
2010/10/17,9,44
2010/10/17,10,61
2010/10/17,11,101
2010/10/17,12,108
2010/10/17,13,134
2010/10/17,14,140
2010/10/17,15,139
2010/10/17,16,136
2010/10/17,17,116
2010/10/17,18,95
2010/10/17,19,65
2010/10/17,20,30
2010/10/17,21,39
2010/10/17,22,24
2010/10/17,23,21
2010/10/18,0,6
2010/10/18,1,4
2010/10/18,2,6
2010/10/18,3,1
2010/10/18,5,3
2010/10/18,6,20
2010/10/18,7,48
2010/10/18,8,105
2010/10/18,9,76
2010/10/18,10,44
