StartDate,Ridership,DayType
22-07-12,7410,No
23-07-12,6966,No
24-07-12,7592,No
25-07-12,8173,No
26-07-12,6861,No
27-07-12,6904,No
28-07-12,6685,No
29-07-12,6597,No
30-07-12,7105,No
31-07-12,7216,No
01-08-12,7580,No
02-08-12,7261,No
03-08-12,7175,No
04-08-12,6824,No
05-08-12,5464,No
06-08-12,7013,No
07-08-12,7273,No
08-08-12,7534,No
09-08-12,7286,No
10-08-12,5786,No
11-08-12,6299,No
12-08-12,6544,No
13-08-12,6883,No
14-08-12,6784,No
15-08-12,7347,No
16-08-12,7605,No
17-08-12,7148,No
18-08-12,7865,No
19-08-12,4549,No
20-08-12,6530,No
21-08-12,7006,No
22-08-12,7375,No
23-08-12,7765,No
24-08-12,7582,No
25-08-12,6053,No
26-08-12,5255,No
27-08-12,6917,No
28-08-12,7040,No
29-08-12,7697,No
30-08-12,7713,No
31-08-12,7350,No
01-09-12,6140,No
02-09-12,5810,No
03-09-12,6034,Yes
04-09-12,6864,No
05-09-12,7112,No
06-09-12,6203,No
07-09-12,7503,No
08-09-12,5976,No
09-09-12,8227,No
10-09-12,7525,No
11-09-12,7767,No
12-09-12,7870,No
13-09-12,7804,No
14-09-12,8009,No
15-09-12,8714,No
16-09-12,7333,No
17-09-12,6869,No
18-09-12,4073,No
19-09-12,7591,No
20-09-12,7720,No
21-09-12,8167,No
22-09-12,8395,No
23-09-12,7907,No
24-09-12,7436,No
25-09-12,7538,No
26-09-12,7733,No
27-09-12,7393,No
28-09-12,7415,No
29-09-12,8555,No
30-09-12,6889,No
01-10-12,6778,No
02-10-12,4639,No
03-10-12,7572,No
04-10-12,7328,No
05-10-12,8156,No
06-10-12,7965,No
07-10-12,3510,No
08-10-12,5478,Yes
09-10-12,6392,No
10-10-12,7691,No
11-10-12,7570,No
12-10-12,7281,No
13-10-12,7109,No
14-10-12,6639,No
15-10-12,5875,No
16-10-12,7534,No
17-10-12,7461,No
18-10-12,7509,No
19-10-12,5424,No
20-10-12,8090,No
21-10-12,6824,No
22-10-12,7058,No
23-10-12,7466,No
24-10-12,7693,No
25-10-12,7359,No
26-10-12,7444,No
27-10-12,7852,No
28-10-12,4459,No
29-10-12,22,No
30-10-12,1096,No
31-10-12,5566,No
01-11-12,5986,No
02-11-12,5847,No
03-11-12,5138,No
04-11-12,5107,No
05-11-12,5259,No
06-11-12,5686,No
07-11-12,5035,No
08-11-12,5315,No
09-11-12,5992,No
10-11-12,6536,No
11-11-12,6852,No
12-11-12,6269,Yes
13-11-12,4094,No
14-11-12,5495,No
15-11-12,5445,No
16-11-12,5698,No
17-11-12,5629,No
18-11-12,4669,No
19-11-12,5499,No
20-11-12,5634,No
21-11-12,5146,No
22-11-12,2425,Yes
23-11-12,3910,No
24-11-12,2277,No
25-11-12,2424,No
26-11-12,5087,No
27-11-12,3959,No
28-11-12,5260,No
29-11-12,5323,No
30-11-12,5668,No
01-12-12,5191,No
02-12-12,4649,No
03-12-12,6234,No
04-12-12,6606,No
05-12-12,5729,No
06-12-12,5375,No
07-12-12,5008,No
08-12-12,5582,No
09-12-12,3228,No
10-12-12,5170,No
11-12-12,5501,No
12-12-12,5319,No
13-12-12,5532,No
14-12-12,5611,No
15-12-12,5047,No
16-12-12,3786,No
17-12-12,4585,No
18-12-12,5557,No
19-12-12,5267,No
20-12-12,4128,No
21-12-12,3623,No
22-12-12,1749,No
23-12-12,1787,No
24-12-12,920,No
25-12-12,1013,Yes
26-12-12,441,No
27-12-12,2114,No
28-12-12,3095,No
29-12-12,1341,No
30-12-12,1796,No
31-12-12,2729,No
01-01-13,1985,Yes
02-01-13,3703,No
