StartStation,Ridership
Lee Hwy & N Scott St,7350
Lee Hwy & N Woodstock St,346
Lincoln Memorial,206487
Lincoln Park / 13th & East Capitol St NE,126013
Long Bridge Park/Long Bridge Dr & 6th St S,2363
Lynn & 19th St North,68195
Lyttonsville Rd & Lyttonsville Pl,105
M St & Delaware Ave NE,50203
M St & New Jersey Ave SE,64880
M St & Pennsylvania Ave NW,98216
Madison & N Henry St,553
Maple & Ritchie Ave,1859
Market Square / King St & Royal St,14772
Maryland & Independence Ave SW,106485
Maryland Ave & E St NE,5291
Massachusetts Ave & Dupont Circle NW,370961
McKinley St & Connecticut Ave NW,3033
Medical Center Dr & Key West Ave,557
Medical Center Metro,365
Metro Center / 12th & G St NW,129049
Minnesota Ave Metro/DOES,1901
MLK Library/9th & G St NW,22848
Monroe Ave & Leslie Ave,3345
Monroe St & Monroe Pl,522
Montgomery & East Ln,4061
Montgomery Ave & Waverly St,2132
Montgomery College/W Campus Dr & Mannakee St,629
Mount Vernon Ave & E Del Ray Ave,4285
Mount Vernon Ave & E Nelson Ave,3288
Mount Vernon Ave & Kennedy St,2630
N Pershing Dr & Wayne St,7457
N Quincy St & Glebe Rd,12770
N Randolph St & Fairfax Dr,13980
N Rhodes & 16th St N,18031
N Veitch  & 20th St N,14341
N Veitch & Key Blvd,12715
Nannie Helen Burroughs & Minnesota Ave NE,347
Nannie Helen Burroughs Ave & 49th St NE,372
Neal St & Trinidad Ave NE,15372
Needwood Rd & Eagles Head Ct,185
New Hampshire Ave & 24th St NW,27023
New Hampshire Ave & T St NW,114562
New Jersey Ave & N St NW/Dunbar HS,27463
New Jersey Ave & R St NW,33294
New York Ave & 15th St NW,144623
New York Ave & Hecht Ave NE,1216
Norfolk & Rugby Ave,2332
Norfolk Ave & Fairmont St,3305
North Capitol St & F St NW,157767
North Capitol St & G Pl NE,22968
Offutt Ln & Chevy Chase Dr,3303
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,72318
Oklahoma Ave & D St NE,2665
Old Georgetown Rd & Southwick St,2236
Park Rd & Holmead Pl NW,145908
Pennsylvania & Minnesota Ave SE,2574
Pentagon City Metro / 12th & S Hayes St,36499
Pershing & N George Mason Dr,6954
Philadelphia & Maple Ave,2396
Piccard & W Gude Dr,505
Pleasant St & MLK Ave SE,1636
Potomac & Pennsylvania Ave SE,64555
Potomac Ave & 35th St S,6847
Potomac Ave & 8th St SE,7736
Potomac Ave & Main Line Blvd,88
Potomac Greens Dr & Slaters Ln,3599
Prince St & Union St,9903
Radford & Osage St,19
Randle Circle & Minnesota Ave SE,747
Rhode Island Ave & V St NE,17295
Rhode Island Ave Metro,7362
Ripley & Bonifant St,2399
River Rd & Landy Ln,4748
Rockville Metro East,1056
Rockville Metro West,819
Rolfe St & 9th St S,1029
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,39273
Royal & Wilkes St,225
S Arlington Mill Dr & Campbell Ave,6656
S Four Mile Run & Walter Reed Dr,1201
S Four Mile Run Dr & S Shirlington Rd,3214
S George Mason Dr & 13th St S,516
S George Mason Dr & Four Mile Run,2400
S Glebe & Potomac Ave,25415
S Joyce & 16th St S,3614
S Joyce & Army Navy Dr,22920
S Kenmore & 24th St S,653
S Oakland St & Columbia Pike,755
S Stafford & 34th St S,1093
S Troy St & 26th St S,2756
S Walter Reed Dr & 8th St S,1035
Saint Asaph & Madison St,1175
Saint Asaph St & Pendleton  St,9720
Shady Grove Hospital,208
Shady Grove Metro West,2616
Shirlington Transit Center / S Quincy & Randolph St,1449
Silver Spring Metro/Colesville Rd & Wayne Ave,2585
Smithsonian / Jefferson Dr & 12th St SW,121086
South Capitol & Atlantic St SW,48
Spring St & Second Ave,801
Taft St & E Gude Dr,299
Takoma Metro,15074
Tenleytown / Wisconsin Ave & Albemarle St NW,54046
Thomas Circle,181922
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,2909
Traville Gateway Dr & Gudelsky Dr,283
Union Market/6th St & Neal Pl NE,9532
US Dept of State / Virginia Ave & 21st St NW,72071
USDA / 12th & Independence Ave SW,113088
Utah St & 11th St N,7623
Van Ness Metro / UDC,43436
Veterans Pl & Pershing Dr,1108
Virginia Square Metro / N Monroe St & 9th St N,26643
Walter Reed Community Center / Walter Reed Dr & 16th St S,1514
Ward Circle / American University,32271
Washington & Independence Ave SW/HHS,52282
Washington Adventist U / Flower Ave & Division St,988
Washington Blvd & 10th St N,10575
Washington Blvd & 7th St N,4945
Washington Blvd & N Frederick St,342
Washington Blvd & Walter Reed Dr,2979
Wilson Blvd & Franklin Rd,17966
Wilson Blvd & N Edgewood St,14136
Wilson Blvd & N Illinois St,407
Wilson Blvd & N Oakland St,9554
Wilson Blvd & N Quincy St,17346
Wilson Blvd & N Uhle St,12785
Wisconsin Ave & Ingomar St NW,468
Wisconsin Ave & Newark St NW,47015
Wisconsin Ave & O St NW,37943
Woodmont Ave & Strathmore St,495
Yuma St & Tenley Circle NW,506
