EndStation,Ridership
North Capitol St & G Pl NE,22925
Offutt Ln & Chevy Chase Dr,3088
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,72190
Oklahoma Ave & D St NE,2982
Old Georgetown Rd & Southwick St,1507
Park Rd & Holmead Pl NW,116576
Pennsylvania & Minnesota Ave SE,3896
Pentagon City Metro / 12th & S Hayes St,37645
Pershing & N George Mason Dr,6497
Philadelphia & Maple Ave,4226
Piccard & W Gude Dr,624
Pleasant St & MLK Ave SE,1558
Potomac & Pennsylvania Ave SE,64270
Potomac Ave & 35th St S,8315
Potomac Ave & 8th St SE,8038
Potomac Ave & Main Line Blvd,98
Potomac Greens Dr & Slaters Ln,3964
Prince St & Union St,15823
Radford & Osage St,14
Randle Circle & Minnesota Ave SE,685
Rhode Island Ave & V St NE,8458
Rhode Island Ave Metro,7268
Ripley & Bonifant St,1549
River Rd & Landy Ln,4580
Rockville Metro East,1045
Rockville Metro West,782
Rolfe St & 9th St S,935
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,51430
Royal & Wilkes St,275
S Arlington Mill Dr & Campbell Ave,7515
S Four Mile Run & Walter Reed Dr,1374
S Four Mile Run Dr & S Shirlington Rd,3323
S George Mason Dr & 13th St S,487
S George Mason Dr & Four Mile Run,2712
S Glebe & Potomac Ave,29628
S Joyce & 16th St S,3294
S Joyce & Army Navy Dr,24156
S Kenmore & 24th St S,811
S Oakland St & Columbia Pike,862
S Stafford & 34th St S,924
S Troy St & 26th St S,3059
S Walter Reed Dr & 8th St S,1035
Saint Asaph & Madison St,1323
Saint Asaph St & Pendleton  St,11948
Shady Grove Hospital,202
Shady Grove Metro West,2266
Shirlington Transit Center / S Quincy & Randolph St,2181
Silver Spring Metro/Colesville Rd & Wayne Ave,2525
Smithsonian / Jefferson Dr & 12th St SW,126083
South Capitol & Atlantic St SW,53
Spring St & Second Ave,557
Taft St & E Gude Dr,304
Takoma Metro,12635
Tenleytown / Wisconsin Ave & Albemarle St NW,29151
Thomas Circle,174409
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,3269
Traville Gateway Dr & Gudelsky Dr,285
Union Market/6th St & Neal Pl NE,9417
US Dept of State / Virginia Ave & 21st St NW,74254
USDA / 12th & Independence Ave SW,122663
Utah St & 11th St N,6613
Van Ness Metro / UDC,36229
Veterans Pl & Pershing Dr,1000
Virginia Square Metro / N Monroe St & 9th St N,23295
Walter Reed Community Center / Walter Reed Dr & 16th St S,1695
Ward Circle / American University,20089
Washington & Independence Ave SW/HHS,57933
Washington Adventist U / Flower Ave & Division St,1319
Washington Blvd & 10th St N,7756
Washington Blvd & 7th St N,4488
Washington Blvd & N Frederick St,325
Washington Blvd & Walter Reed Dr,3170
Wilson Blvd & Franklin Rd,13665
Wilson Blvd & N Edgewood St,12096
Wilson Blvd & N Illinois St,444
Wilson Blvd & N Oakland St,6844
Wilson Blvd & N Quincy St,15270
Wilson Blvd & N Uhle St,8239
Wisconsin Ave & Ingomar St NW,309
Wisconsin Ave & Newark St NW,28149
Wisconsin Ave & O St NW,42852
Woodmont Ave & Strathmore St,396
Yuma St & Tenley Circle NW,193
